Genes	T0_1	T0_2	KCl_1_3m	KCl_2_3m	KCl_1_6m	KCl_2_6m	KCl_1_9m	KCl_2_9m	KCl_1_12m	KCl_2_12m	KCl_1_15m	KCl_2_15m	KCl_1_20m	KCl_2_20m	KNO3_1_3m	KNO3_2_3m	KNO3_1_6m	KNO3_2_6m	KNO3_1_9m	KNO3_2_9m	KNO3_1_12m	KNO3_2_12m	KNO3_1_15m	KNO3_2_15m	KNO3_1_20m	KNO3_2_20m
AT1G08090	2748.427828	3477.238555	1191.838242	2308.132188	2224.363524	2397.468454	2192.357729	1710.269005	4210.110304	4159.484626	2547.143526	2378.009386	4910.43536	4588.278635	2497.545794	2591.408497	2766.985099	3350.059919	3849.262977	4810.218689	5971.360897	9442.097665	8139.17238	9619.493125	6844.261374	8142.78398
AT1G58110	487.0606974	364.6648776	255.4456375	381.5738321	387.2110878	473.5520774	437.8107641	502.3574299	704.7726064	560.0883321	574.2207366	479.1217683	470.6408803	487.8281353	226.5692783	211.6868407	336.0485446	306.1833326	501.3627262	475.9980679	474.0321753	455.9392955	535.1379743	472.2802071	417.0074446	431.2833542
AT1G68880	316.8170702	235.8117069	590.4165873	404.949797	294.9985588	319.9305771	250.1266562	272.4324597	291.6141448	252.5408727	270.0986092	376.057669	236.0040705	256.4742009	326.7373355	272.7292049	423.1404354	369.2450272	629.9097042	468.7589983	814.3232605	693.5024262	1117.146345	1021.725876	1511.07713	1633.812008
AT3G46130	513.7713751	312.5862369	361.7665242	157.5221304	522.8826375	512.2420102	356.4928975	315.9024079	282.7174216	294.0568334	334.4941308	344.6938548	339.0315653	341.9701619	353.8526742	196.1111164	382.2703977	308.3754833	543.0929143	476.1222872	523.5207395	1388.015092	812.0732811	667.4261685	945.8422768	897.2398439
AT3G49760	660.2360268	754.3425463	405.8840201	294.3148702	356.7013759	385.7846796	646.1095974	670.2416051	747.4924094	639.4403035	527.641227	657.5223997	747.2783895	623.444244	481.6237612	432.5435726	364.0723448	395.2410579	898.270513	826.1500958	1050.352723	1309.793086	925.2929305	802.2887	1217.851755	1369.083198
AT3G57390	156.063983	140.4169938	186.0842422	180.9593304	131.5136831	106.8045104	151.1936819	188.2547346	226.7986721	173.3613749	222.4444212	169.1721434	184.1643723	150.3042353	127.5258451	142.5885778	79.9065111	111.1875259	135.5809231	154.5131863	138.4243384	106.3210953	151.7055411	113.8984461	162.8228846	174.9932474
AT4G34000	1238.078468	1089.175369	1070.804144	1006.908636	1209.193692	859.6140152	1166.808283	1256.929217	1354.678833	1300.17213	1267.261876	1316.931123	874.5115243	969.489936	967.4435352	1022.877464	711.8552573	777.1832263	1069.541792	948.9047593	1379.999041	1289.353275	1432.97593	1760.42565	1966.060036	2114.118869
AT5G10030	273.8574732	264.7507484	146.097671	121.4385931	171.4003324	239.9101596	238.7998811	248.6369858	259.508395	306.9917599	307.765603	242.095292	300.2513621	280.4845755	271.4052291	223.1022791	269.8518995	259.4899583	311.6692531	283.9909542	387.3962188	192.7067501	385.543115	346.3610721	536.7429864	517.0383917
AT5G15830	259.1474614	302.8368601	86.61318308	131.1254055	157.277538	180.9372064	300.9506686	370.0581094	205.6546236	191.9345412	287.1830784	323.8099713	259.0125253	179.2472178	27.40247569	142.4338329	290.4076298	143.8677429	401.0456502	323.9198885	462.9700168	818.0002968	947.6100515	544.0527361	1333.999198	1253.309816
AT5G17300	286.145584	200.592279	224.1161823	176.2064909	229.2297826	248.8580515	229.7438615	338.2124699	241.3327296	228.1718037	271.6881883	291.9262816	177.7333563	171.3789808	258.4369415	184.6569904	110.7491082	118.3706035	216.8770727	181.4430393	187.7153854	208.2253163	242.5714141	225.3995254	189.789831	178.6027249
AT5G58900	543.5835706	447.1240589	211.0096735	374.7760408	177.1321093	194.1782185	418.0533569	471.0104042	372.9395632	423.972677	309.3440023	431.6725177	427.5463849	392.8413094	252.371977	246.7010958	266.0978305	197.942487	591.8516782	485.8824891	640.5448561	994.8961687	490.7347644	583.2100588	842.1141344	828.643279
AT5G61420	310.2621332	291.4414001	102.3260937	177.0843455	259.2868333	283.6510046	304.6450586	170.0577627	242.4757715	266.6591891	221.6083122	220.4141836	332.9435111	317.9356944	321.5116356	264.7497982	369.34429	308.3102478	279.9926719	330.8507253	302.0813502	380.5153628	382.6289929	300.5980348	411.8586341	407.1014555
AT5G65210	1004.883412	838.3149285	710.5591154	491.7825879	723.0048818	733.2953051	1013.113822	911.431802	1385.692355	1116.989518	1296.756068	1104.052757	1243.209202	1089.834916	793.3804743	641.1252838	773.5461488	736.362899	1233.309644	1202.949567	1546.06405	1799.025802	2743.633715	2216.426811	2579.90317	2566.557586
